First Name,Middle Name,Last Name,Phonetic First Name,Phonetic Middle Name,Phonetic Last Name,Name Prefix,Name Suffix,Nickname,File As,Organization Name,Organization Title,Organization Department,Birthday,Notes,Photo,Labels,E-mail 1 - Label,E-mail 1 - Value,Phone 1 - Label,Phone 1 - Value,Phone 2 - Label,Phone 2 - Value,Phone 3 - Label,Phone 3 - Value,Phone 4 - Label,Phone 4 - Value,Phone 5 - Label,Phone 5 - Value,Phone 6 - Label,Phone 6 - Value,Address 1 - Label,Address 1 - Formatted,Address 1 - Street,Address 1 - City,Address 1 - PO Box,Address 1 - Region,Address 1 - Postal Code,Address 1 - Country,Address 1 - Extended Address,Address 2 - Label,Address 2 - Formatted,Address 2 - Street,Address 2 - City,Address 2 - PO Box,Address 2 - Region,Address 2 - Postal Code,Address 2 - Country,Address 2 - Extended Address
,,,,,,,,,,,,,,,,Imported on 6/27 ::: * myContacts,,,Mobile,(555) 555-5555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(R54) XXXXXXXXXXX,,,,,,,,,,,,,,Imported on 6/27 ::: * myContacts,,,Home,(555) 555-5555,Mobile,(555) 555-5555,,,,,,,,,,,,,,,,,,,,,,,,,,
V04,,"XXXXXXXXXXXXXXXXXXXXXX",,,,,,,,V4,,,,,,Imported on 6/27 ::: * myContacts,,,Main,+15555555555,Other,+15555555555 ::: +15555555555 ::: +17145488940 ::: +19515970316,Mobile,(951) 407-6088,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Imported on 6/27 ::: * myContacts,,,Main,+15555555555,Mobile,(555) 555-5555,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Imported on 6/27 ::: * myContacts,,,Main,+15555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Imported on 6/27 ::: * myContacts,,,Main,+15555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Imported on 6/27 ::: * myContacts,,,Main,+15555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Imported on 6/27 ::: * myContacts,,,Main,+15555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Imported on 6/27 ::: * myContacts,,,Main,+15555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Imported on 6/27 ::: * myContacts,,,Main,+15555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Imported on 6/27 ::: * myContacts,,,Main,+15555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,XXXXXXXXXXX,,,,,,,,,,,,,,Imported on 6/27 ::: * myContacts,,,Main,+15555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXXXXXXXXXX,,5555555555 ,,,,,,,,,,,,,,Imported on 6/27 ::: * myContacts,,,Mobile,(555) 555-5555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XXXXXXXXXXX,,5555555555,,,,,,,,,,,,,,Imported on 6/27 ::: * myContacts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/16/1962,,XXXXXXXXXXX,,,,,,,,,,,,,,Imported on 6/27 ::: * myContacts,,,Mobile,(555) 555-5555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A01 XXXXXXXXXXX,,,,,,,,,,A1,,,,,,Imported on 6/27 ::: * myContacts,* Home,xxxxxxx@gmail.com,Home,(555) 555-5555,Other,+15555555555,,,,,,,,,,,,,,,,,,,,,,,,,,
A02 XXXXXXXXXXX,,,,,,,,,,A2,,,,,,Imported on 6/27 ::: * myContacts,,,Home,(555) 555-5555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A03 XXXXXXXXXXX,,,,,,,,,,A3,,,,,,Imported on 6/27 ::: * myContacts,,,Home,(555) 555-5555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A04 XXXXXXXXXXX,,,,,,,,,,A4,,,,,,Imported on 6/27 ::: * myContacts,,,Home,(555) 555-5555,Work,(555) 555-5555,,,,,,,,,,,,,,,,,,,,,,,,,,
A05 XXXXXXXXXXX,,,,,,,,,,A5,,,,,,Imported on 6/27 ::: * myContacts,,,Home,(555) 555-5555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A06 XXXXXXXXXXX,,,,,,,,,,A6,,,,,,Imported on 6/27 ::: * myContacts,,,Home,(555) 555-5555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A07 XXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,A7,,,,,,Imported on 6/27 ::: * myContacts,,,Home,(555) 555-5555,Mobile,(555) 555-5555,,,,,,,,,,,,,,,,,,,,,,,,,,
A08 XXXXXXXXXXXXXXXXXXXXXX,,A8,,,,,,,,A8,,,,,,Imported on 6/27 ::: * myContacts,,,Home,(555) 555-5555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A09 XXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,A9,,,,,,Imported on 6/27 ::: * myContacts,,,Home,(555) 555-5555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
